+-----------------------------------------------------------------+-----------------+-------------------+
| Package                                                         | Total Downloads | Monthly Downloads |
| zendframework/zenddiagnostics                                   | 2598639         | 147633            |
| zendframework/zendframework                                     | 4307681         | 66420             |
| zendframework/zendframework1                                    | 2961449         | 67918             |
| zendframework/zendgdata                                         | 51643           | 1063              |
| zendframework/zendoauth                                         | 149583          | 3136              |
| zendframework/zendopenid                                        | 14473           | 50                |
| zendframework/zendpdf                                           | 800977          | 20722             |
| zendframework/zendrest                                          | 155744          | 6209              |
| zendframework/zendsearch                                        | 233823          | 8717              |
| zendframework/zendservice-agilezen                              | 68              | 0                 |
| zendframework/zendservice-akismet                               | 17383           | 676               |
| zendframework/zendservice-amazon                                | 81424           | 2298              |
| zendframework/zendservice-api                                   | 10304           | 542               |
| zendframework/zendservice-apple-apns                            | 1149894         | 42004             |
| zendframework/zendservice-audioscrobbler                        | 25              | 0                 |
| zendframework/zendservice-delicious                             | 326             | 13                |
| zendframework/zendservice-developergarden                       | 4479            | 1                 |
| zendframework/zendservice-flickr                                | 3722            | 6                 |
| zendframework/zendservice-github                                | 14              | 0                 |
| zendframework/zendservice-gogrid                                | 78              | 0                 |
| zendframework/zendservice-google-gcm                            | 1153486         | 39439             |
| zendframework/zendservice-livedocx                              | 2734            | 130               |
| zendframework/zendservice-logentries                            | 1042            | 0                 |
| zendframework/zendservice-nirvanix                              | 68              | 0                 |
| zendframework/zendservice-openstack                             | 587             | 26                |
| zendframework/zendservice-rackspace                             | 20681           | 489               |
| zendframework/zendservice-recaptcha                             | 194756          | 5839              |
| zendframework/zendservice-slideshare                            | 14898           | 69                |
| zendframework/zendservice-strikeiron                            | 75              | 0                 |
| zendframework/zendservice-technorati                            | 71              | 0                 |
| zendframework/zendservice-twitter                               | 80991           | 2094              |
| zendframework/zendservice-windowsazure                          | 190             | 0                 |
| zendframework/zendxml                                           | 4125933         | 93192             |
| zendframework/zf1-extras                                        | 176749          | 4964              |
| zendframework/zftool                                            | 903240          | 15683             |
+-----------------------------------------------------------------+-----------------+-------------------+
| SUMMARY                                                         | 311738426       | 13112450          |
+-----------------------------------------------------------------+-----------------+-------------------+
